Gene_stable_ID	GC_content	NCBI_gene_ID	HGNC_symbol	HGNC_ID
ENSG00000277355	48.10	3805	KIR2DL4	HGNC:6332
ENSG00000280830	45.50	55256	ADI1	HGNC:30576
ENSG00000269823	54.13			
ENSG00000276328	49.00	115653	KIR3DL3	HGNC:16312
ENSG00000263163	59.39	11000	SLC27A3	HGNC:10997
ENSG00000277596	47.39			
ENSG00000278327	48.03	3804	KIR2DL3	HGNC:6331
ENSG00000278369	48.13	3804	KIR2DL3	HGNC:6331
ENSG00000275815	49.12		KIR2DP1	HGNC:16344
ENSG00000276625	48.40	3802	KIR2DL1	HGNC:6329
ENSG00000277392	48.99	115653	KIR3DL3	HGNC:16312
ENSG00000274545	56.23		LILRP1	HGNC:15496
ENSG00000277552	48.95	115653	KIR3DL3	HGNC:16312
ENSG00000278360	54.23			
ENSG00000278288	44.16	79166	LILRP2	HGNC:15497
ENSG00000278490	49.04	115653	KIR3DL3	HGNC:16312
ENSG00000278152	47.78			
ENSG00000274518	48.19			
ENSG00000278731	48.11			
ENSG00000274438	48.10			
ENSG00000277317	48.17	3804	KIR2DL3	HGNC:6331
ENSG00000274707	49.15			
ENSG00000278414	49.31			
ENSG00000275914	48.16			
ENSG00000273522	49.11		KIR2DP1	HGNC:16344
ENSG00000277630	36.73	100288966		
ENSG00000274243	48.91			
ENSG00000277070	51.25		LILRP1	HGNC:15496
ENSG00000275436	49.41			
ENSG00000273755	44.25	79166	LILRP2	HGNC:15497
ENSG00000278755	48.41	3802	KIR2DL1	HGNC:6329
ENSG00000277028	48.97	115653	KIR3DL3	HGNC:16312
ENSG00000276013	49.18			
ENSG00000278051	48.76		KIR3DP1	HGNC:16343
ENSG00000274830	48.08	3804	KIR2DL3	HGNC:6331
ENSG00000277362	47.92	3805	KIR2DL4	HGNC:6332
ENSG00000274851	49.13		KIR2DP1	HGNC:16344
ENSG00000277616	48.31	3802	KIR2DL1	HGNC:6329
ENSG00000264450	40.46			
ENSG00000274724	49.01	115653	KIR3DL3	HGNC:16312
ENSG00000263243	43.25	3859	KRT12	HGNC:6414
ENSG00000274782	48.40	3802	KIR2DL1	HGNC:6329
ENSG00000273955	49.24		KIR2DP1	HGNC:16344
ENSG00000277554	48.08	3804	KIR2DL3	HGNC:6331
ENSG00000273794	48.34	3802	KIR2DL1	HGNC:6329
ENSG00000274942	48.90		KIR2DP1	HGNC:16344
ENSG00000277560	48.73		KIR3DP1	HGNC:16343
ENSG00000275276	48.43	3802	KIR2DL1	HGNC:6329
ENSG00000276779	47.93	3805	KIR2DL4	HGNC:6332
ENSG00000263057	40.47	54474	KRT20	HGNC:20412
ENSG00000274108	48.04	3804	KIR2DL3	HGNC:6331
ENSG00000275593	44.03		KIR3DP1	HGNC:16343
ENSG00000278329	49.12		KIR2DP1	HGNC:16344
ENSG00000277885	48.15	100132285	KIR2DS2	HGNC:6334
ENSG00000278430	47.98	3805	KIR2DL4	HGNC:6332
ENSG00000277356	48.41	3802	KIR2DL1	HGNC:6329
ENSG00000276011	48.15	3803	KIR2DL2	HGNC:6330
ENSG00000276001	56.23		LILRP1	HGNC:15496
ENSG00000274082	54.23			
ENSG00000277657	48.72			
ENSG00000274945	48.07	3805	KIR2DL4	HGNC:6332
ENSG00000276243	44.31	79166	LILRP2	HGNC:15497
ENSG00000262487	41.12			
ENSG00000263309	41.60	25984	KRT23	HGNC:6438
ENSG00000275937	49.41	553128	KIR2DL5B	HGNC:16346
ENSG00000277185	49.14			
ENSG00000276139	48.19			
ENSG00000273688	49.29		KIR3DP1	HGNC:16343
ENSG00000274563	48.96			
ENSG00000278207	48.38	3802	KIR2DL1	HGNC:6329
ENSG00000274955	47.96	3805	KIR2DL4	HGNC:6332
ENSG00000278306	48.77	3808	KIR2DS3	HGNC:6335
ENSG00000274786	48.94	115653	KIR3DL3	HGNC:16312
ENSG00000275059	49.15			
ENSG00000275795	49.17			
ENSG00000275080	48.44	3802	KIR2DL1	HGNC:6329
ENSG00000262710	43.14			
ENSG00000276820	48.50	3802	KIR2DL1	HGNC:6329
ENSG00000262299	57.45	343052		
ENSG00000277742	48.99		KIR3DP1	HGNC:16343
ENSG00000261992	44.67	57459	GATAD2B	HGNC:30778
ENSG00000277835	43.85		KIR3DP1	HGNC:16343
ENSG00000275699	48.04	3805	KIR2DL4	HGNC:6332
ENSG00000273887	48.01	3804	KIR2DL3	HGNC:6331
ENSG00000275732	48.10	3805	KIR2DL4	HGNC:6332
ENSG00000278793	43.93			
ENSG00000278833	43.90			
ENSG00000277375	49.24		KIR2DP1	HGNC:16344
ENSG00000275546	48.12			
ENSG00000277850	47.97	3805	KIR2DL4	HGNC:6332
ENSG00000276258	48.17			
ENSG00000278495	48.33	3802	KIR2DL1	HGNC:6329
ENSG00000275407	48.15			
ENSG00000275946	49.33			
ENSG00000276676	48.88			
ENSG00000275422	48.82			
ENSG00000277376	49.16		KIR2DP1	HGNC:16344
ENSG00000275848	47.92	3805	KIR2DL4	HGNC:6332
ENSG00000278805	48.43	3802	KIR2DL1	HGNC:6329
ENSG00000275751	43.89		KIR3DP1	HGNC:16343
ENSG00000274163	49.26		KIR3DP1	HGNC:16343
ENSG00000277176	44.02		KIR3DP1	HGNC:16343
ENSG00000278074	48.01	3805	KIR2DL4	HGNC:6332
ENSG00000262025	49.20			
ENSG00000277750	47.88	3805	KIR2DL4	HGNC:6332
ENSG00000277725	48.21	3803	KIR2DL2	HGNC:6330
ENSG00000274189	48.08	3805	KIR2DL4	HGNC:6332
ENSG00000274610	45.37		KIR3DP1	HGNC:16343
ENSG00000275237	48.05	3805	KIR2DL4	HGNC:6332
ENSG00000276590	48.13	3804	KIR2DL3	HGNC:6331
ENSG00000273661	48.17			
ENSG00000273775	48.42	3811	KIR3DL1	HGNC:6338
ENSG00000275659	46.51	3811	KIR3DL1	HGNC:6338
ENSG00000276518	45.38		KIR3DP1	HGNC:16343
ENSG00000276970	49.12			
ENSG00000274193	48.10	3805	KIR2DL4	HGNC:6332
ENSG00000275750	48.44	3802	KIR2DL1	HGNC:6329
ENSG00000276498	48.43			
ENSG00000278079	48.48	3811	KIR3DL1	HGNC:6338
ENSG00000278786	43.87		KIR3DP1	HGNC:16343
ENSG00000275887	45.39		KIR3DP1	HGNC:16343
ENSG00000273575	48.05	3805	KIR2DL4	HGNC:6332
ENSG00000281250	44.90	105374250	LINC02054	HGNC:52894
ENSG00000281738	47.31		LINC01839	HGNC:41330
ENSG00000277076	47.97	3805	KIR2DL4	HGNC:6332
ENSG00000276501	48.46	3811	KIR3DL1	HGNC:6338
ENSG00000278345	51.15			
ENSG00000276044	48.05	3805	KIR2DL4	HGNC:6332
ENSG00000262164	42.38	390792	KRT39	HGNC:32971
ENSG00000276329	48.46	3811	KIR3DL1	HGNC:6338
ENSG00000276423	48.44	3811	KIR3DL1	HGNC:6338
ENSG00000276035	48.73		KIR3DP1	HGNC:16343
ENSG00000274920	48.51	3811	KIR3DL1	HGNC:6338
ENSG00000277964	47.86	3805	KIR2DL4	HGNC:6332
ENSG00000262845	41.71	125115	KRT40	HGNC:26707
ENSG00000277691	43.90			
ENSG00000278368	48.51	3811	KIR3DL1	HGNC:6338
ENSG00000275317	47.85	3805	KIR2DL4	HGNC:6332
ENSG00000273518	48.43	3811	KIR3DL1	HGNC:6338
ENSG00000278625	35.85			
ENSG00000275288	48.51	3811	KIR3DL1	HGNC:6338
ENSG00000263101	48.58	85293	KRTAP3-3	HGNC:18890
ENSG00000263296	48.86	83897	KRTAP3-2	HGNC:16779
ENSG00000274948	48.46	3811	KIR3DL1	HGNC:6338
ENSG00000274465	48.43	3813	KIR3DS1	HGNC:6340
ENSG00000262616	57.14		KRTAP3-4P	HGNC:18919
ENSG00000262068	39.70	83896	KRTAP3-1	HGNC:16778
ENSG00000273990	46.91		RNVU1-26	HGNC:54429
ENSG00000273757	51.52	6063	RNVU1-2A	HGNC:54430
ENSG00000274574	53.66			
ENSG00000276379	54.23	3811	KIR3DL1	HGNC:6338
ENSG00000281416	46.89			
ENSG00000275717	48.47	3811	KIR3DL1	HGNC:6338
ENSG00000261862	48.94	83895	KRTAP1-5	HGNC:16777
ENSG00000280708	58.18			
ENSG00000263242	64.22	728255	KRTAP1-4	HGNC:18904
ENSG00000275974	47.12	728945	PPIAL4F	HGNC:33999
ENSG00000262347	52.88	81850	KRTAP1-3	HGNC:16771
ENSG00000280579	35.06			
ENSG00000262808	52.49	81851	KRTAP1-1	HGNC:16772
ENSG00000276197	75.56			
ENSG00000274917	57.52	100008587	RNA5-8SN5	HGNC:53533
ENSG00000273937	75.56			
ENSG00000261852	62.63	81872	KRTAP2-1	HGNC:16775
ENSG00000274324	49.13	3809	KIR2DS4	HGNC:6336
ENSG00000273730	57.52			
ENSG00000280460	36.78			
ENSG00000262731	63.90	728279		
ENSG00000276392	49.16			
ENSG00000262862	55.43	730755	KRTAP2-3	HGNC:18906
ENSG00000277193	48.77			
ENSG00000263091	57.20	85294	KRTAP2-4	HGNC:18891
ENSG00000275421	48.34			
ENSG00000274714	49.08	3809	KIR2DS4	HGNC:6336
ENSG00000262376	58.84		KRTAP2-5P	HGNC:18920
ENSG00000266286	55.32	100996750		
ENSG00000278758	47.10	3812	KIR3DL2	HGNC:6339
ENSG00000261968	52.98	728224		
ENSG00000274722	47.05	3812	KIR3DL2	HGNC:6339
ENSG00000262520	63.14		KRTAP4-16	HGNC:18921
ENSG00000262121	55.06	100132386	KRTAP4-9	HGNC:18910
ENSG00000277272	48.43	3811	KIR3DL1	HGNC:6338
ENSG00000277175	48.48	3811	KIR3DL1	HGNC:6338
ENSG00000263229	52.80	653240	KRTAP4-11	HGNC:18911
ENSG00000277345	49.15	3809	KIR2DS4	HGNC:6336
ENSG00000263236	55.25	83755	KRTAP4-12	HGNC:16776
ENSG00000276424	47.13	3812	KIR3DL2	HGNC:6339
ENSG00000277078	48.94	3809	KIR2DS4	HGNC:6336
ENSG00000278474	47.10	3812	KIR3DL2	HGNC:6339
ENSG00000276534	48.41			
ENSG00000275938	48.99	3809	KIR2DS4	HGNC:6336
ENSG00000278726	47.04	3812	KIR3DL2	HGNC:6339
ENSG00000277551	42.99			
ENSG00000276395	48.64	3809	KIR2DS4	HGNC:6336
ENSG00000278850	47.07	3812	KIR3DL2	HGNC:6339
ENSG00000261958	48.15	390174	OR9G1	HGNC:15319
ENSG00000262191	47.93	504191	OR9G9	HGNC:31940
ENSG00000281683	52.38			
ENSG00000262268	47.71		OR9G3P	HGNC:15321
ENSG00000262647	45.18	283189	OR9G4	HGNC:15322
ENSG00000281777	45.45		OR9G2P	HGNC:15320
ENSG00000281313	45.03		OR5G1P	HGNC:8344
ENSG00000281279	43.16		OR5G4P	HGNC:15288
ENSG00000274807	48.98	3809	KIR2DS4	HGNC:6336
ENSG00000262535	36.37		OR5G5P	HGNC:15289
ENSG00000275321	37.22			
ENSG00000280030	46.35			
ENSG00000273526	48.96	3809	KIR2DS4	HGNC:6336
ENSG00000281107	41.56		OR5G3	HGNC:15287
ENSG00000281839	37.53	101927120	LINC02735	HGNC:54252
ENSG00000278116	49.16	57292	KIR2DL5A	HGNC:16345
ENSG00000275416	47.07	3812	KIR3DL2	HGNC:6339
ENSG00000276999	34.05			
ENSG00000280066	53.80		MTDHP4	HGNC:52360
ENSG00000275050	38.41	7617	ZNF66	HGNC:13135
ENSG00000275500	48.78	102725023		
ENSG00000279280	52.24	641367	CCNYL6	HGNC:54657
ENSG00000276004	47.14	3812	KIR3DL2	HGNC:6339
ENSG00000280218	41.28		VN1R84P	HGNC:37404
ENSG00000276327	48.30	3806	KIR2DS1	HGNC:6333
ENSG00000274746	38.52	163227	ZNF100	HGNC:12880
ENSG00000280428	38.06		BNIP3P24	HGNC:49704
ENSG00000274676	49.32			
ENSG00000276882	47.09	3812	KIR3DL2	HGNC:6339
ENSG00000274449	38.07			
ENSG00000274106	40.35			
ENSG00000274708	42.99			
ENSG00000274146	48.52	3811	KIR3DL1	HGNC:6338
ENSG00000273752	42.99			
ENSG00000275269	47.88	2204	FCAR	HGNC:3608
ENSG00000279112	43.42	641367	BRI3BPP1	HGNC:51482
ENSG00000280271	41.52			
ENSG00000279614	51.34			
ENSG00000279566	34.85	7594	ZNF43	HGNC:13109
ENSG00000281935	47.07	196385	DNAH10	HGNC:2941
ENSG00000276465	49.13	3809	KIR2DS4	HGNC:6336
ENSG00000278091	37.87	7639	ZNF85	HGNC:13160
ENSG00000275786	48.46	3811	KIR3DL1	HGNC:6338
ENSG00000276552	42.99			
ENSG00000282650	46.71	254528	MEIOB	HGNC:28569
ENSG00000278710	47.08	3812	KIR3DL2	HGNC:6339
ENSG00000276254	48.64			
ENSG00000282469	45.32	64735	LINC00254	HGNC:14160
ENSG00000282069	48.79	105371048	LINC02124	HGNC:52981
ENSG00000276333	64.06	64711	HS3ST6	HGNC:14178
ENSG00000273929	42.99			
ENSG00000277650	48.87			
ENSG00000273517	48.35			
ENSG00000274406	49.12	3809	KIR2DS4	HGNC:6336
ENSG00000263090	51.54	83899	KRTAP9-2	HGNC:16926
ENSG00000273735	48.88	3812	KIR3DL2	HGNC:6339
ENSG00000262749	49.90	83900	KRTAP9-3	HGNC:16927
ENSG00000267208	62.15			
ENSG00000262512	50.57	85280	KRTAP9-4	HGNC:18902
ENSG00000267728	50.15	81870		
ENSG00000275262	47.14	3812	KIR3DL2	HGNC:6339
ENSG00000278190	42.99			
ENSG00000267635	62.86	100507608		
ENSG00000263103	61.35		KRTAP9-10P	HGNC:34210
ENSG00000273670	56.23		LILRP1	HGNC:15496
ENSG00000262218	52.05	100533177	KRTAP29-1	HGNC:34211
ENSG00000277456	54.23			
ENSG00000281486	44.83	54221	SNTG2	HGNC:13741
ENSG00000273528	44.33	79166	LILRP2	HGNC:15497
ENSG00000281020	42.30	54221	SNTG2	HGNC:13741
ENSG00000276777	41.80		ARMC4P1	HGNC:44937
ENSG00000278036	41.12			
ENSG00000275336	34.60			
ENSG00000273501	42.06			
ENSG00000273681	56.10		FAM210CP	HGNC:44938
ENSG00000278364	46.67		TRIAP1P1	HGNC:31659
ENSG00000276595	38.72	374308	PTCHD3	HGNC:24776
ENSG00000276084	49.00	115653	KIR3DL3	HGNC:16312
ENSG00000281232	54.43			
ENSG00000279318	44.35			
ENSG00000277603	48.27	7173	TPO	HGNC:12015
ENSG00000276274	39.05		RNU6-1266P	HGNC:48229
ENSG00000277976	45.69		KRT18P40	HGNC:33409
ENSG00000282534	57.27		IMPDH1P5	HGNC:33960
ENSG00000279974	39.61			
ENSG00000282233	47.11			
ENSG00000278780	40.92	80264	ZNF430	HGNC:20808
ENSG00000274429	50.00	9231	DLG5	HGNC:2904
ENSG00000262214	59.59		KRTAP9-12P	HGNC:48873
ENSG00000262573	51.64	83899	KRTAP9-2	HGNC:16926
ENSG00000262896	50.47	85280	KRTAP9-4	HGNC:18902
ENSG00000262594	49.64	81870	KRTAP9-9	HGNC:16773
ENSG00000278140	42.99			
ENSG00000274957	48.99	3809	KIR2DS4	HGNC:6336
ENSG00000274947	49.08	3809	KIR2DS4	HGNC:6336
ENSG00000263263	50.27	100507608	KRTAP9-6	HGNC:18914
ENSG00000275051	42.77	9271	PIWIL1	HGNC:9007
ENSG00000262946	61.71		KRTAP9-11P	HGNC:18918
ENSG00000273738	47.46	2204	FCAR	HGNC:3608
ENSG00000278442	47.08	3812	KIR3DL2	HGNC:6339
ENSG00000275021	42.99			
ENSG00000262221	51.40	100505724	KRTAP9-7	HGNC:18915
ENSG00000282429	36.99			
ENSG00000263115	61.35		KRTAP9-10P	HGNC:34210
ENSG00000278361	47.07	3812	KIR3DL2	HGNC:6339
ENSG00000262542	52.05	100533177	KRTAP29-1	HGNC:34211
ENSG00000275035	50.40	80212	CCDC92	HGNC:29563
ENSG00000280559	41.52			
ENSG00000275353	48.99	3809	KIR2DS4	HGNC:6336
ENSG00000278666	45.83			
ENSG00000281157	44.32	100507524	ARHGEF26-AS1	HGNC:41048
ENSG00000278809	47.00	3812	KIR3DL2	HGNC:6339
ENSG00000277101	38.95	26084	ARHGEF26	HGNC:24490
ENSG00000274597	42.99			
ENSG00000276985	47.88	2204	FCAR	HGNC:3608
ENSG00000277567	42.99			
ENSG00000274402	48.08	3804	KIR2DL3	HGNC:6331
ENSG00000278573	43.73			
ENSG00000281942	59.04			
ENSG00000276017	60.52			
ENSG00000278817	57.94	102724770		
ENSG00000274476	49.15		KIR2DP1	HGNC:16344
ENSG00000277196	58.96	102724788		
ENSG00000276858	47.88	2204	FCAR	HGNC:3608
ENSG00000281995	57.16			
ENSG00000277153	42.99		RNU6-222P	HGNC:47185
ENSG00000282606	44.75	284241		
ENSG00000282330	49.81			
ENSG00000277833	48.32	3802	KIR2DL1	HGNC:6329
ENSG00000277334	50.00	9437	NCR1	HGNC:6731
ENSG00000282752	52.68	9150	CTDP1	HGNC:2498
ENSG00000280759	53.71	161	AP2A2	HGNC:562
ENSG00000280647	50.40			
ENSG00000281644	51.23			
ENSG00000281954	51.26			
ENSG00000280971	42.73			
ENSG00000281351	50.78		SUDS3P1	HGNC:44000
ENSG00000274382	54.55	5626	PROP1	HGNC:9455
ENSG00000281775	59.68	10841	FTCD	HGNC:3974
ENSG00000276209	48.89	3809	KIR2DS4	HGNC:6336
ENSG00000278656	47.02	3812	KIR3DL2	HGNC:6339
ENSG00000279612	41.48			
ENSG00000263322	36.18			
ENSG00000262102	41.51	92126	DSEL	HGNC:18144
ENSG00000281763	34.84	170506	DHX36	HGNC:14410
ENSG00000282220	38.85			
ENSG00000282112	75.98	643542		
ENSG00000275168	42.99			
ENSG00000281949	42.64			
ENSG00000275671	42.99			
ENSG00000275255	43.99		KIR3DP1	HGNC:16343
ENSG00000275136	47.88	2204	FCAR	HGNC:3608
ENSG00000278606	48.07	3805	KIR2DL4	HGNC:6332
ENSG00000278476	44.24		RPL21P36	HGNC:36128
ENSG00000279215	43.51		CRIM1-DT	HGNC:54057
ENSG00000277642	42.99			
ENSG00000281617	36.91			
ENSG00000280541	61.41	100861507	FTCD-AS1	HGNC:40243
ENSG00000281870	55.08			
ENSG00000277354	74.36	51232	CRIM1	HGNC:2359
ENSG00000280892	54.31			
ENSG00000274679	51.49	84221	SPATC1L	HGNC:1298
ENSG00000281104	53.24			
ENSG00000273546	56.23		LILRP1	HGNC:15496
ENSG00000276994	54.23			
ENSG00000273922	44.33	79166	LILRP2	HGNC:15497
ENSG00000276885	48.55	3809	KIR2DS4	HGNC:6336
ENSG00000274706	42.99		RNU6-821P	HGNC:47784
ENSG00000262860	39.90	26065	LSM14A	HGNC:24489
ENSG00000281062	48.92			
ENSG00000276086	48.86	115653	KIR3DL3	HGNC:16312
ENSG00000275629	47.06	3812	KIR3DL2	HGNC:6339
ENSG00000281503	56.52			
ENSG00000281753	44.89			
ENSG00000281577	57.76			
ENSG00000276938	44.03			
ENSG00000281289	53.38	4047	LSS	HGNC:6708
ENSG00000281496	46.92			
ENSG00000281976	57.29		ADAMTS7P1	HGNC:49407
ENSG00000282037	34.08		GXYLT1P1	HGNC:39676
ENSG00000278747	39.42			
ENSG00000275428	38.92			
ENSG00000277428	38.61			
ENSG00000267639	61.55			
ENSG00000282611	58.53		CNN2P12	HGNC:39834
ENSG00000282352	38.43		ZNF965P	HGNC:42025
ENSG00000282782	52.38		CYP4F34P	HGNC:39953
ENSG00000276256	37.57	389831		
ENSG00000282677	51.35		SNX18P26	HGNC:39634
ENSG00000267237	40.44			
ENSG00000278198	39.12			
ENSG00000282536	52.97		LINC00328-2P	HGNC:42027
ENSG00000282715	36.82		ANKRD20A9P	HGNC:42023
ENSG00000274980	36.54		RNU6-1025P	HGNC:47988
ENSG00000262453	49.86			
ENSG00000278853	40.19		RNU6-55P	HGNC:42545
ENSG00000277518	61.67	4588	MUC6	HGNC:7517
ENSG00000262536	40.00			
ENSG00000252379	44.23			
ENSG00000262156	55.25	200315	APOBEC3A	HGNC:17343
ENSG00000262156	55.25	100913187	APOBEC3A	HGNC:17343
ENSG00000274042	53.75	647042	GOLGA6L10	HGNC:37228
ENSG00000282734	52.07	286083		
ENSG00000282391	47.56			
ENSG00000281953	48.82			
ENSG00000281997	52.82			
ENSG00000274771	42.99			
ENSG00000282388	57.10			
ENSG00000281464	41.52			
ENSG00000278025	50.00	9437	NCR1	HGNC:6731
ENSG00000282329	51.76		MREGP1	HGNC:50749
ENSG00000276371	41.46	58516	SINHCAF	HGNC:30702
ENSG00000282141	56.25			
ENSG00000275495	45.66			
ENSG00000282152	49.21	9228	DLGAP2	HGNC:2906
ENSG00000282480	45.93			
ENSG00000282766	42.50			
ENSG00000275637	50.00	9437	NCR1	HGNC:6731
ENSG00000282377	59.41			
ENSG00000282001	41.74	100507435	DLGAP2-AS1	HGNC:50467
ENSG00000275735	48.16			
ENSG00000278692	48.11			
ENSG00000275486	48.46	3811	KIR3DL1	HGNC:6338
ENSG00000280737	34.69	101928280	LINC02549	HGNC:53584
ENSG00000262679	53.45	100874530	APOBEC3B-AS1	HGNC:43836
ENSG00000275049	43.75			
ENSG00000278277	45.39			
ENSG00000274166	47.95	643707	GOLGA6L10	HGNC:37228
ENSG00000274166	47.95	647042	GOLGA6L10	HGNC:37228
ENSG00000273498	48.10	3805	KIR2DL4	HGNC:6332
ENSG00000282649	51.04	105371907	SEPTIN9-DT	HGNC:52818
ENSG00000282753	46.40			
ENSG00000279389	44.42	9710	GARRE1	HGNC:29016
ENSG00000282302	54.73	10801	SEPTIN9	HGNC:7323
